"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 01, 2018","13,354.0","13,794.0","13,893.0","12,787.0","29.54K","-3.23%"
"Jan 02, 2018","14,709.8","13,448.0","15,300.0","12,810.0","56.18K","10.15%"
"Jan 03, 2018","15,155.0","14,713.0","15,428.0","14,522.0","38.35K","3.03%"
"Jan 04, 2018","15,160.0","15,150.0","15,390.0","14,064.0","46.47K","0.03%"
"Jan 05, 2018","16,917.0","15,159.0","17,101.0","14,769.0","54.63K","11.59%"
"Jan 06, 2018","17,161.0","16,911.0","17,252.0","16,251.0","29.61K","1.44%"
"Jan 07, 2018","16,196.0","17,163.0","17,176.0","15,726.0","30.84K","-5.62%"
"Jan 08, 2018","14,930.0","16,216.0","16,279.0","13,760.0","64.95K","-7.82%"
"Jan 09, 2018","14,423.0","14,902.0","15,355.0","14,122.0","43.44K","-3.40%"
"Jan 10, 2018","14,896.0","14,426.0","14,896.0","13,338.0","57.33K","3.28%"
"Jan 11, 2018","13,266.0","14,895.0","14,949.8","12,639.0","71.70K","-10.94%"
"Jan 12, 2018","13,783.0","13,248.0","14,095.0","12,778.0","37.42K","3.90%"
"Jan 13, 2018","14,191.0","13,794.0","14,580.0","13,760.0","29.01K","2.96%"
"Jan 14, 2018","13,558.0","14,190.0","14,391.0","12,874.3","35.60K","-4.46%"
"Jan 15, 2018","13,575.0","13,558.0","14,350.0","13,307.0","33.46K","0.13%"
"Jan 16, 2018","11,072.0","13,594.0","13,604.0","9,949.4","131.86K","-18.44%"
"Jan 17, 2018","11,082.0","11,059.0","11,490.0","9,231.1","132.23K","0.09%"
"Jan 18, 2018","11,045.0","11,101.0","11,881.0","10,515.0","85.24K","-0.33%"
"Jan 19, 2018","11,476.0","11,036.0","11,879.0","10,649.0","48.55K","3.90%"
"Jan 20, 2018","12,728.0","11,462.0","13,002.0","11,425.0","46.30K","10.91%"
"Jan 21, 2018","11,514.0","12,732.0","12,732.0","11,020.0","53.62K","-9.54%"
"Jan 22, 2018","10,771.0","11,519.0","11,886.0","10,009.0","66.35K","-6.45%"
"Jan 23, 2018","10,819.0","10,770.0","11,383.0","9,901.1","63.85K","0.45%"
"Jan 24, 2018","11,414.0","10,811.0","11,529.0","10,454.0","43.82K","5.50%"
"Jan 25, 2018","11,146.0","11,402.0","11,723.0","10,857.0","34.44K","-2.35%"
"Jan 26, 2018","11,070.0","11,144.0","11,647.0","10,298.0","56.75K","-0.68%"
"Jan 27, 2018","11,461.0","11,068.0","11,683.0","10,822.0","34.40K","3.53%"
"Jan 28, 2018","11,839.0","11,455.1","12,181.0","11,398.0","29.62K","3.30%"
"Jan 29, 2018","11,212.0","11,836.0","11,957.0","11,074.0","25.65K","-5.30%"
"Jan 30, 2018","10,175.0","11,215.0","11,250.0","9,864.9","61.28K","-9.25%"
"Jan 31, 2018","10,284.0","10,170.0","10,411.0","9,761.0","43.23K","1.07%"
"Feb 01, 2018","9,181.1","10,278.0","10,311.0","8,941.0","78.78K","-10.72%"
"Feb 02, 2018","8,895.8","9,181.0","9,201.0","7,972.2","123.34K","-3.11%"
"Feb 03, 2018","9,219.4","8,887.1","9,495.0","8,189.6","51.91K","3.64%"
"Feb 04, 2018","8,200.0","9,225.1","9,403.3","7,840.0","74.42K","-11.06%"
"Feb 05, 2018","6,949.9","8,185.2","8,378.0","6,658.8","131.29K","-15.25%"
"Feb 06, 2018","7,673.8","6,946.6","7,860.0","6,000.0","192.76K","10.42%"
"Feb 07, 2018","7,587.0","7,679.4","8,488.2","7,175.1","106.70K","-1.13%"
"Feb 08, 2018","8,235.1","7,585.0","8,648.8","7,579.6","77.62K","8.54%"
"Feb 09, 2018","8,683.2","8,240.0","8,748.0","7,734.7","63.03K","5.44%"
"Feb 10, 2018","8,563.1","8,678.1","9,074.3","8,152.1","68.15K","-1.38%"
"Feb 11, 2018","8,069.0","8,563.0","8,569.0","7,851.0","52.21K","-5.77%"
"Feb 12, 2018","8,900.6","8,070.0","9,000.0","8,070.0","51.40K","10.31%"
"Feb 13, 2018","8,515.9","8,902.9","8,952.8","8,339.7","39.51K","-4.32%"
"Feb 14, 2018","9,455.4","8,515.9","9,488.0","8,512.6","50.36K","11.03%"
"Feb 15, 2018","9,996.9","9,454.3","10,175.0","9,338.8","67.53K","5.73%"
"Feb 16, 2018","10,162.0","9,996.0","10,270.0","9,674.9","43.89K","1.65%"
"Feb 17, 2018","11,053.5","10,161.0","11,083.0","10,050.0","52.80K","8.77%"
"Feb 18, 2018","10,372.0","11,062.0","11,250.0","10,122.0","69.83K","-6.17%"
"Feb 19, 2018","11,173.0","10,398.0","11,250.0","10,308.0","50.74K","7.72%"
"Feb 20, 2018","11,218.0","11,172.0","11,776.0","11,101.0","60.92K","0.40%"
"Feb 21, 2018","10,455.0","11,216.0","11,239.0","10,200.0","76.96K","-6.80%"
"Feb 22, 2018","9,830.0","10,453.2","10,912.0","9,740.0","71.23K","-5.98%"
"Feb 23, 2018","10,145.0","9,826.5","10,395.0","9,583.9","59.07K","3.20%"
"Feb 24, 2018","9,666.3","10,144.0","10,499.0","9,350.3","55.70K","-4.72%"
"Feb 25, 2018","9,557.4","9,666.3","9,840.0","9,284.3","30.52K","-1.13%"
"Feb 26, 2018","10,321.0","9,583.0","10,437.0","9,359.9","45.94K","7.99%"
"Feb 27, 2018","10,569.0","10,320.0","10,880.0","10,133.0","39.72K","2.40%"
"Feb 28, 2018","10,315.0","10,583.0","11,063.0","10,270.0","43.89K","-2.40%"
"Mar 01, 2018","10,925.0","10,316.0","11,087.0","10,224.0","33.87K","5.91%"
"Mar 02, 2018","11,025.0","10,908.0","11,189.0","10,766.0","28.86K","0.92%"
"Mar 03, 2018","11,440.0","11,024.0","11,526.0","11,024.0","30.65K","3.76%"
"Mar 04, 2018","11,501.0","11,454.0","11,544.0","11,061.0","28.07K","0.53%"
"Mar 05, 2018","11,416.0","11,497.0","11,696.0","11,390.0","27.56K","-0.74%"
"Mar 06, 2018","10,720.0","11,403.0","11,403.0","10,578.0","44.24K","-6.10%"
"Mar 07, 2018","9,902.9","10,779.0","10,899.0","9,422.1","75.22K","-7.62%"
"Mar 08, 2018","9,300.0","9,910.7","10,109.0","9,037.0","67.75K","-6.09%"
"Mar 09, 2018","9,217.0","9,301.9","9,420.5","8,351.0","98.20K","-0.89%"
"Mar 10, 2018","8,762.0","9,216.2","9,500.0","8,691.1","52.54K","-4.94%"
"Mar 11, 2018","9,528.0","8,764.4","9,726.1","8,429.0","70.48K","8.74%"
"Mar 12, 2018","9,121.0","9,528.0","9,894.7","8,776.8","67.58K","-4.27%"
"Mar 13, 2018","9,135.0","9,130.2","9,479.0","8,827.7","61.54K","0.15%"
"Mar 14, 2018","8,186.6","9,135.2","9,400.1","7,923.8","78.81K","-10.38%"
"Mar 15, 2018","8,252.9","8,181.3","8,416.7","7,666.3","82.58K","0.81%"
"Mar 16, 2018","8,251.0","8,250.1","8,602.7","7,903.2","56.34K","-0.02%"
"Mar 17, 2018","7,851.0","8,250.0","8,350.1","7,729.5","48.97K","-4.85%"
"Mar 18, 2018","8,200.2","7,832.0","8,285.6","7,240.0","88.92K","4.45%"
"Mar 19, 2018","8,600.1","8,209.0","8,689.9","8,100.0","73.28K","4.88%"
"Mar 20, 2018","8,899.7","8,600.2","9,025.0","8,309.6","54.28K","3.48%"
"Mar 21, 2018","8,900.1","8,899.8","9,175.2","8,755.7","42.86K","0.00%"
"Mar 22, 2018","8,706.4","8,888.6","9,088.0","8,453.1","54.42K","-2.18%"
"Mar 23, 2018","8,908.0","8,703.8","8,910.0","8,272.8","44.91K","2.32%"
"Mar 24, 2018","8,535.0","8,911.4","9,040.2","8,463.0","44.21K","-4.19%"
"Mar 25, 2018","8,445.1","8,525.0","8,673.9","8,373.0","30.69K","-1.05%"
"Mar 26, 2018","8,119.1","8,445.0","8,496.4","7,839.1","56.38K","-3.86%"
"Mar 27, 2018","7,784.5","8,128.0","8,209.0","7,727.0","50.41K","-4.12%"
"Mar 28, 2018","7,936.1","7,784.5","8,118.0","7,725.0","35.08K","1.95%"
"Mar 29, 2018","7,094.0","7,936.0","7,963.9","6,897.2","77.41K","-10.61%"
"Mar 30, 2018","6,840.4","7,091.5","7,267.3","6,533.0","108.25K","-3.57%"
"Mar 31, 2018","6,925.3","6,838.1","7,221.9","6,782.9","68.02K","1.24%"
"Apr 01, 2018","6,810.0","6,925.4","7,035.1","6,432.4","54.90K","-1.66%"
"Apr 02, 2018","7,052.7","6,813.1","7,121.4","6,770.2","44.01K","3.56%"
"Apr 03, 2018","7,405.6","7,073.8","7,509.6","7,020.0","49.86K","5.00%"
"Apr 04, 2018","6,785.9","7,403.3","7,422.0","6,670.0","53.72K","-8.37%"
"Apr 05, 2018","6,765.0","6,785.8","6,911.0","6,571.9","45.85K","-0.31%"
"Apr 06, 2018","6,610.2","6,767.2","6,851.5","6,501.1","42.14K","-2.29%"
"Apr 07, 2018","6,892.6","6,610.0","7,075.4","6,599.9","40.61K","4.27%"
"Apr 08, 2018","7,023.9","6,892.6","7,114.8","6,883.0","29.33K","1.90%"
"Apr 09, 2018","6,764.6","7,024.0","7,187.4","6,611.0","75.96K","-3.69%"
"Apr 10, 2018","6,839.3","6,770.9","6,890.6","6,650.0","26.15K","1.10%"
"Apr 11, 2018","6,943.1","6,839.3","6,975.7","6,795.0","29.54K","1.52%"
"Apr 12, 2018","7,912.0","6,944.0","8,083.7","6,761.3","94.57K","13.95%"
"Apr 13, 2018","7,885.8","7,915.2","8,230.0","7,746.0","59.91K","-0.33%"
"Apr 14, 2018","8,002.9","7,885.8","8,182.0","7,820.7","26.52K","1.48%"
"Apr 15, 2018","8,354.1","8,003.0","8,426.3","7,997.2","31.90K","4.39%"
"Apr 16, 2018","8,056.2","8,354.8","8,415.0","7,900.3","37.56K","-3.57%"
"Apr 17, 2018","7,889.9","8,056.1","8,169.0","7,823.3","28.23K","-2.06%"
"Apr 18, 2018","8,166.3","7,888.8","8,229.0","7,874.7","29.54K","3.50%"
"Apr 19, 2018","8,272.8","8,166.4","8,296.8","8,099.9","29.21K","1.30%"
"Apr 20, 2018","8,866.1","8,272.8","8,937.5","8,219.0","50.90K","7.17%"
"Apr 21, 2018","8,919.1","8,865.4","9,029.0","8,618.9","39.56K","0.60%"
"Apr 22, 2018","8,800.0","8,917.6","8,979.8","8,752.9","31.43K","-1.34%"
"Apr 23, 2018","8,940.0","8,791.4","8,940.0","8,769.9","23.26K","1.59%"
"Apr 24, 2018","9,644.4","8,940.2","9,737.9","8,929.9","60.35K","7.88%"
"Apr 25, 2018","8,878.4","9,643.0","9,761.5","8,768.4","74.49K","-7.94%"
"Apr 26, 2018","9,279.3","8,850.1","9,308.0","8,656.0","43.21K","4.52%"
"Apr 27, 2018","8,920.1","9,269.7","9,381.1","8,902.8","30.15K","-3.87%"
"Apr 28, 2018","9,345.3","8,911.0","9,436.0","8,845.0","45.08K","4.77%"
"Apr 29, 2018","9,398.6","9,340.3","9,564.1","9,184.6","27.31K","0.57%"
"Apr 30, 2018","9,240.0","9,400.0","9,450.0","9,110.7","23.26K","-1.69%"
"May 01, 2018","9,067.0","9,240.7","9,240.7","8,829.1","25.59K","-1.87%"
"May 02, 2018","9,236.4","9,069.1","9,279.8","8,979.6","20.18K","1.87%"
"May 03, 2018","9,762.1","9,237.9","9,838.0","9,162.8","36.48K","5.69%"
"May 04, 2018","9,702.8","9,759.0","9,811.9","9,557.0","24.54K","-0.61%"
"May 05, 2018","9,859.6","9,702.9","9,990.0","9,685.9","29.51K","1.62%"
"May 06, 2018","9,658.7","9,859.6","9,963.9","9,455.0","26.92K","-2.04%"
"May 07, 2018","9,370.0","9,659.0","9,675.7","9,200.0","25.78K","-2.99%"
"May 08, 2018","9,184.7","9,356.4","9,469.7","9,052.3","25.86K","-1.98%"
"May 09, 2018","9,318.2","9,180.7","9,370.9","8,980.1","22.81K","1.45%"
"May 10, 2018","9,018.7","9,320.0","9,390.0","9,003.0","23.62K","-3.21%"
"May 11, 2018","8,412.4","9,015.2","9,015.2","8,341.8","54.49K","-6.72%"
"May 12, 2018","8,462.7","8,419.5","8,631.6","8,204.5","36.66K","0.60%"
"May 13, 2018","8,683.6","8,467.0","8,753.0","8,320.0","22.90K","2.61%"
"May 14, 2018","8,670.8","8,683.8","8,882.4","8,279.5","37.15K","-0.15%"
"May 15, 2018","8,467.5","8,668.5","8,838.0","8,420.7","26.21K","-2.34%"
"May 16, 2018","8,336.1","8,467.0","8,488.7","8,103.6","32.76K","-1.55%"
"May 17, 2018","8,051.8","8,349.7","8,466.9","7,986.8","25.19K","-3.41%"
"May 18, 2018","8,239.0","8,054.8","8,276.6","7,927.8","23.44K","2.32%"
"May 19, 2018","8,232.3","8,238.9","8,400.1","8,142.0","14.15K","-0.08%"
"May 20, 2018","8,523.7","8,230.9","8,580.0","8,171.5","15.50K","3.54%"
"May 21, 2018","8,393.4","8,523.7","8,586.9","8,317.7","17.22K","-1.53%"
"May 22, 2018","7,977.3","8,399.6","8,406.5","7,947.2","20.53K","-4.96%"
"May 23, 2018","7,494.8","7,978.0","8,020.0","7,442.1","41.68K","-6.05%"
"May 24, 2018","7,576.7","7,503.3","7,718.0","7,260.9","38.86K","1.09%"
"May 25, 2018","7,458.0","7,576.0","7,654.1","7,323.1","25.87K","-1.57%"
"May 26, 2018","7,330.3","7,456.7","7,621.7","7,286.1","13.81K","-1.71%"
"May 27, 2018","7,339.7","7,330.8","7,411.5","7,220.1","16.17K","0.13%"
"May 28, 2018","7,097.9","7,339.6","7,434.8","7,062.4","26.68K","-3.29%"
"May 29, 2018","7,460.0","7,104.0","7,527.9","7,048.6","27.90K","5.10%"
"May 30, 2018","7,375.1","7,465.3","7,557.5","7,279.6","22.08K","-1.14%"
"May 31, 2018","7,485.8","7,375.1","7,599.7","7,338.0","19.46K","1.50%"
"Jun 01, 2018","7,521.0","7,485.9","7,599.8","7,344.8","19.04K","0.47%"
"Jun 02, 2018","7,638.1","7,521.1","7,691.2","7,445.5","17.36K","1.56%"
"Jun 03, 2018","7,718.0","7,639.0","7,777.4","7,600.0","13.80K","1.05%"
"Jun 04, 2018","7,488.3","7,718.0","7,761.5","7,457.5","18.13K","-2.98%"
"Jun 05, 2018","7,621.7","7,487.9","7,669.0","7,372.9","16.84K","1.78%"
"Jun 06, 2018","7,654.0","7,621.9","7,698.0","7,495.2","18.27K","0.42%"
"Jun 07, 2018","7,688.9","7,653.9","7,756.1","7,645.8","11.04K","0.46%"
"Jun 08, 2018","7,615.1","7,685.7","7,697.0","7,544.0","12.20K","-0.96%"
"Jun 09, 2018","7,498.6","7,615.2","7,684.9","7,467.7","7.22K","-1.53%"
"Jun 10, 2018","6,757.3","7,498.1","7,498.1","6,633.9","57.82K","-9.89%"
"Jun 11, 2018","6,873.3","6,757.3","6,897.0","6,631.0","22.38K","1.72%"
"Jun 12, 2018","6,543.9","6,873.2","6,873.2","6,441.0","32.01K","-4.79%"
"Jun 13, 2018","6,295.2","6,543.1","6,611.7","6,125.7","45.58K","-3.80%"
"Jun 14, 2018","6,633.7","6,295.1","6,703.4","6,269.5","33.06K","5.38%"
"Jun 15, 2018","6,385.0","6,638.0","6,655.5","6,360.3","21.29K","-3.75%"
"Jun 16, 2018","6,485.9","6,386.2","6,557.2","6,330.0","13.70K","1.58%"
"Jun 17, 2018","6,435.7","6,491.0","6,573.0","6,426.9","9.44K","-0.77%"
"Jun 18, 2018","6,709.2","6,443.5","6,826.8","6,378.6","26.37K","4.25%"
"Jun 19, 2018","6,737.5","6,711.6","6,832.9","6,666.2","17.38K","0.42%"
"Jun 20, 2018","6,760.4","6,732.7","6,818.2","6,560.0","18.71K","0.34%"
"Jun 21, 2018","6,713.5","6,760.0","6,787.1","6,680.1","10.65K","-0.69%"
"Jun 22, 2018","6,042.6","6,715.2","6,730.7","5,929.1","55.25K","-9.99%"
"Jun 23, 2018","6,152.0","6,041.0","6,253.9","6,014.0","20.70K","1.81%"
"Jun 24, 2018","6,148.0","6,151.9","6,249.7","5,762.9","45.50K","-0.06%"
"Jun 25, 2018","6,246.6","6,146.1","6,334.2","6,082.1","27.91K","1.60%"
"Jun 26, 2018","6,078.5","6,250.8","6,273.7","6,050.2","18.83K","-2.69%"
"Jun 27, 2018","6,133.1","6,073.5","6,181.4","5,989.0","18.27K","0.90%"
"Jun 28, 2018","5,850.0","6,133.1","6,167.7","5,829.9","17.94K","-4.62%"
"Jun 29, 2018","6,208.1","5,848.1","6,273.0","5,782.9","33.93K","6.12%"
